track,h,search,queue,algo,domain,cov
ipc2011,ff1,lazy,LIFO,h,parcprinter,11
ipc2011,ff1,lazy,LIFO,h,parking,17
ipc2011,ff1,lazy,LIFO,h,floortile,4
ipc2011,ff1,lazy,LIFO,h,scanalyzer,16
ipc2011,ff1,lazy,LIFO,h,sokoban,19
ipc2011,ff1,lazy,LIFO,h,openstacks,0
ipc2014,cg1,lazy,LIFO,h,barman,0
ipc2014,cg1,lazy,LIFO,h,citycar,0
ipc2014,cg1,lazy,LIFO,h,parking,0
ipc2014,cg1,lazy,LIFO,h,childsnack,1
ipc2014,cg1,lazy,LIFO,h,floortile,0
ipc2014,cg1,lazy,LIFO,h,tetris,9
ipc2014,cg1,lazy,LIFO,h,cavediving,7
ipc2014,cg1,lazy,LIFO,h,transport,4
ipc2014,cg1,lazy,LIFO,h,thoughtful,6
ipc2014,cg1,lazy,LIFO,h,maintenance,0
ipc2014,cg1,lazy,LIFO,h,openstacks,0
ipc2014,cg1,lazy,LIFO,h,hiking,17
ipc2014,cg1,lazy,LIFO,h,visitall,0
ipc2014,cg1,lazy,LIFO,h,ged,0
ipc2011,cg1,lazy,LIFO,h,nomystery,10
ipc2011,cg1,lazy,LIFO,h,tidybot,14
ipc2011,cg1,lazy,LIFO,h,pegsol,20
ipc2011,cg1,lazy,LIFO,h,visitall,3
ipc2011,cg1,lazy,LIFO,h,transport,12
ipc2011,cg1,lazy,LIFO,h,elevators,9
ipc2011,cg1,lazy,LIFO,h,woodworking,1
ipc2011,cg1,lazy,LIFO,h,barman,0
ipc2011,cg1,lazy,LIFO,h,parcprinter,11
ipc2011,cg1,lazy,LIFO,h,parking,4
ipc2011,cg1,lazy,LIFO,h,floortile,0
ipc2011,cg1,lazy,LIFO,h,scanalyzer,20
ipc2011,cg1,lazy,LIFO,h,sokoban,17
ipc2011,cg1,lazy,LIFO,h,openstacks,0
ipc2014,cg1,lazy,LIFO,h,barman,0
ipc2014,cg1,lazy,LIFO,h,citycar,0
ipc2014,cg1,lazy,LIFO,h,parking,0
ipc2014,cg1,lazy,LIFO,h,childsnack,1
ipc2014,cg1,lazy,LIFO,h,floortile,0
ipc2014,cg1,lazy,LIFO,h,tetris,9
ipc2014,cg1,lazy,LIFO,h,cavediving,7
ipc2014,cg1,lazy,LIFO,h,transport,4
ipc2014,cg1,lazy,LIFO,h,thoughtful,6
ipc2014,cg1,lazy,LIFO,h,maintenance,0
ipc2014,cg1,lazy,LIFO,h,openstacks,0
ipc2014,cg1,lazy,LIFO,h,hiking,17
ipc2014,cg1,lazy,LIFO,h,visitall,0
ipc2014,cg1,lazy,LIFO,h,ged,0
ipc2011,cg1,lazy,LIFO,h,nomystery,10
ipc2011,cg1,lazy,LIFO,h,tidybot,14
ipc2011,cg1,lazy,LIFO,h,pegsol,20
ipc2011,cg1,lazy,LIFO,h,visitall,4
ipc2011,cg1,lazy,LIFO,h,transport,12
ipc2011,cg1,lazy,LIFO,h,elevators,9
ipc2011,cg1,lazy,LIFO,h,woodworking,1
ipc2011,cg1,lazy,LIFO,h,barman,0
ipc2011,cg1,lazy,LIFO,h,parcprinter,11
ipc2011,cg1,lazy,LIFO,h,parking,3
ipc2011,cg1,lazy,LIFO,h,floortile,0
ipc2011,cg1,lazy,LIFO,h,scanalyzer,20
ipc2011,cg1,lazy,LIFO,h,sokoban,17
ipc2011,cg1,lazy,LIFO,h,openstacks,0
ipc2014,cg1,lazy,LIFO,h,barman,0
ipc2014,cg1,lazy,LIFO,h,citycar,0
ipc2014,cg1,lazy,LIFO,h,parking,0
ipc2014,cg1,lazy,LIFO,h,childsnack,1
ipc2014,cg1,lazy,LIFO,h,floortile,0
ipc2014,cg1,lazy,LIFO,h,tetris,9
ipc2014,cg1,lazy,LIFO,h,cavediving,7
ipc2014,cg1,lazy,LIFO,h,transport,4
ipc2014,cg1,lazy,LIFO,h,thoughtful,6
ipc2014,cg1,lazy,LIFO,h,maintenance,0
ipc2014,cg1,lazy,LIFO,h,openstacks,0
ipc2014,cg1,lazy,LIFO,h,hiking,17
ipc2014,cg1,lazy,LIFO,h,visitall,0
ipc2014,cg1,lazy,LIFO,h,ged,0
ipc2011,ff1,lazy,LIFO,h,nomystery,5
ipc2011,ff1,lazy,LIFO,h,tidybot,14
ipc2011,ff1,lazy,LIFO,h,pegsol,20
ipc2011,ff1,lazy,LIFO,h,visitall,5
ipc2011,ff1,lazy,LIFO,h,transport,0
ipc2011,ff1,lazy,LIFO,h,elevators,8
ipc2011,ff1,lazy,LIFO,h,woodworking,2
ipc2011,ff1,lazy,LIFO,h,barman,2
ipc2011,ff1,lazy,LIFO,h,parcprinter,11
ipc2011,ff1,lazy,LIFO,h,parking,17
ipc2011,ff1,lazy,LIFO,h,floortile,4
ipc2011,ff1,lazy,LIFO,h,scanalyzer,16
ipc2011,ff1,lazy,LIFO,h,sokoban,19
ipc2011,ff1,lazy,LIFO,h,openstacks,0
ipc2014,ff1,lazy,LIFO,h,barman,0
